buffer size, number of tokens, const latency ms, latency ns
20, 20, 2, 28315056
20, 20, 2, 28438834
20, 30, 2, 30213577
20, 30, 2, 47815679
20, 30, 2, 51066461
20, 30, 2, 43686975
20, 30, 2, 56384058
20, 30, 2, 53584712
20, 30, 2, 43457593
20, 30, 2, 43286929
20, 30, 2, 55406540
20, 30, 2, 50392904
20, 40, 2, 44986333
20, 40, 2, 76352360
20, 40, 2, 78859964
20, 40, 2, 66129255
20, 40, 2, 73787185
20, 40, 2, 73263162
20, 40, 2, 73468983
20, 40, 2, 68575883
20, 40, 2, 76596042
20, 40, 2, 73584734
20, 50, 2, 71062838
20, 50, 2, 97180643
20, 50, 2, 100889797
20, 50, 2, 90431325
20, 50, 2, 98704629
20, 50, 2, 99990817
20, 50, 2, 90483866
20, 50, 2, 95391152
20, 50, 2, 101847298
20, 50, 2, 96851897
